Word,Translation
мгновение,moment
праздник,holiday
густой,thick
мост,bridge
энергия,energy
начальство,authorities
сожаление,regret
полтора,one and a half
объяснять,explain
обратить,convert
сунуть,shove
пятнадцать,fifteen
разрешить,allow
участок,district
жертва,victim
меч,sword
звонок,bell
кино,cinema
признаться,confess
мороз,frost
составлять,compose
бедный,poor
летний,summer
видать,See
адрес,address
закрытый,closed
горло,throat
костер,bonfire
жалко,miserably
кот,cat
бык,bull
трудный,difficult
текст,text
тепло,warmth
занимать,borrow
песок,sand
больно,It hurts
сомнение,doubt
территория,territory
тайна,mystery
волк,wolf
терять,lose
приятель,friend
рукав,sleeve
дедушка,grandfather
вскочить,Jump
прочитать,read
честно,honestly
масло,oil
постоянный,permanent
дорогой,My dear
всякая,Every
существование,existence
лезть,climb
младший,junior
отправить,Send
построить,build
нервный,nervous
пустить,allow
рождение,birth
заглянуть,look
проговорить,say
воспоминание,recollection
проверить,check
болеть,ache
тон,tone
понятие,concept
низкий,low
далее,further
вечный,eternal
песня,song
морской,maritime
крыло,wing
поднимать,raise
розовый,pink
нарушение,infringement
осень,autumn
положенный,Put
туман,fog
ленинград,Leningrad
платье,dress
представление,presentation
важно,importantly
изменение,change
вариант,variant
шофер,chauffeur
опасный,dangerous
означать,signify
вход,entrance
практически,practically
нынешний,present
глупый,stupid
национальный,national
чиновник,official
поверхность,surface
приятно,agreeably
каменный,stone
говориться,Says
прочий,other
испытывать,experience
рано,early
жениться,marry
аппарат,apparatus
церковь,church
ручка,pen
оглянуться,Look
пригласить,invite
хозяйка,hostess
строго,strictly
принадлежать,belong
внезапно,suddenly
единый,unified
дворец,palace
водитель,driver
строить,build
множество,multitude
перейти,go
столик,table
урок,lesson
древний,ancient
опасность,danger
повезти,Lucky
французский,French
поглядеть,look after
горе,grief
честной,Honest
способность,ability
повернуть,turn
остальное,remainder
добраться,Reach out
серьезно,in earnest
признать,recognize
поступить,arrive
работник,worker
долг,debt
специалист,specialist
торопиться,hurry
итак,so
центральный,central
телевизор,television set
зло,evil
вкус,taste
муха,fly
поиск,search
старшина,foreman
озеро,lake
чемодан,suitcase
вынуть,Remove
сзади,behind
приятный,pleasant
стоить,cost
предел,limit
музей,museum
пятно,spot
зона,zone
ученик,pupil
навсегда,Forever
толк,use
полагать,think
родственник,relative
источник,source
угодный,pleasing
послушать,listen
колесо,wheel
грязь,dirt
отметить,note
стен,Walls
добро,good
капля,drop
экран,screen
руководитель,chief
инспектор,inspector
удивление,astonishment
утверждать,assert
молоко,milk
очевидно,obviously
отличаться,differ
предложение,proposal
нету,No
среда,Wednesday
выскочить,jump out
одетый,dressed
площадка,platform
приезжать,come
