Word,Translation
мгновение,moment
праздник,holiday
густой,thick
мост,bridge
энергия,energy
начальство,authorities
сожаление,regret
полтора,one and a half
объяснять,explain
обратить,convert
сунуть,shove
пятнадцать,fifteen
разрешить,allow
участок,district
жертва,victim
меч,sword
звонок,bell
кино,cinema
признаться,confess
мороз,frost
составлять,compose
бедный,poor
летний,summer
видать,See
адрес,address
закрытый,closed
горло,throat
костер,bonfire
жалко,miserably
кот,cat
бык,bull
трудный,difficult
текст,text
тепло,warmth
занимать,borrow
песок,sand
больно,It hurts
сомнение,doubt
территория,territory
тайна,mystery
волк,wolf
терять,lose
приятель,friend
рукав,sleeve
дедушка,grandfather
вскочить,Jump
прочитать,read
честно,honestly
масло,oil
постоянный,permanent
дорогой,My dear
всякая,Every
существование,existence
лезть,climb
младший,junior
отправить,Send
построить,build
нервный,nervous
пустить,allow
рождение,birth
заглянуть,look
проговорить,say
воспоминание,recollection
проверить,check
болеть,ache
тон,tone
понятие,concept
низкий,low
далее,further
вечный,eternal
песня,song
морской,maritime
крыло,wing
поднимать,raise
розовый,pink
нарушение,infringement
осень,autumn
положенный,Put
туман,fog
ленинград,Leningrad
платье,dress
представление,presentation
важно,importantly
изменение,change
вариант,variant
шофер,chauffeur
опасный,dangerous
означать,signify
вход,entrance
практически,practically
нынешний,present
глупый,stupid
национальный,national
чиновник,official
поверхность,surface
приятно,agreeably
каменный,stone
говориться,Says
прочий,other
испытывать,experience
рано,early
жениться,marry
аппарат,apparatus
церковь,church
ручка,pen
оглянуться,Look
пригласить,invite
хозяйка,hostess
строго,strictly
принадлежать,belong
внезапно,suddenly
единый,unified
дворец,palace
водитель,driver
строить,build
множество,multitude
перейти,go
столик,table
урок,lesson
древний,ancient
опасность,danger
повезти,Lucky
французский,French
поглядеть,look after
горе,grief
честной,Honest
способность,ability
повернуть,turn
остальное,remainder
добраться,Reach out
серьезно,in earnest
признать,recognize
поступить,arrive
работник,worker
долг,debt
специалист,specialist
торопиться,hurry
итак,so
центральный,central
телевизор,television set
зло,evil
вкус,taste
муха,fly
поиск,search
старшина,foreman
озеро,lake
чемодан,suitcase
вынуть,Remove
сзади,behind
приятный,pleasant
стоить,cost
предел,limit
музей,museum
пятно,spot
зона,zone
ученик,pupil
навсегда,Forever
толк,use
полагать,think
родственник,relative
источник,source
угодный,pleasing
послушать,listen
колесо,wheel
грязь,dirt
отметить,note
стен,Walls
добро,good
капля,drop
экран,screen
руководитель,chief
инспектор,inspector
удивление,astonishment
утверждать,assert
молоко,milk
очевидно,obviously
отличаться,differ
предложение,proposal
нету,No
среда,Wednesday
выскочить,jump out
одетый,dressed
площадка,platform
приезжать,come
катить,roll
совесть,conscience
кофе,coffee
штаны,trousers
охота,hunt
бровь,eyebrow
расти,grow
список,list
ниже,below
вернуть,return
зависеть,depend
ствол,trunk
основание,foundation
северный,north
познакомиться,meet
поведение,behaviour
жалить,sting
найтись,find
делаться,become
догадаться,guess
дальнейший,further
прожить,live
усилие,effort
гулять,walk
клетка,cage
разобраться,understand
обращать,convert
верхний,upper
обстановка,situation
температура,temperature
вывод,inference
абсолютно,absolutely
предприятие,enterprise
принятый,accepted
отдавать,return
сходить,descend
подарок,gift
звучать,sound
отделение,compartment
волноваться,worry
нижний,lower
штука,piece
защита,protection
вряд,scarcely
выстрел,shot
тотчас,instantly
суть,gist
труп,corpse
основа,base
подать,tax
домашний,domestic
готовить,prepare
участие,participation
жалеть,pity
фон,background
признак,sign
врать,lie
возразить,object
дача,dacha
обо,about
довольный,content
готовиться,prepare
слой,layer
охрана,protection
превратиться,Turn
милиционер,militiaman
портрет,portrait
терпеть,tolerate
махнуть,wave
шкаф,cupboard
вес,weight
холод,cold
определить,define
выпустить,produce
тревога,Red alert
выступать,project
полок,Shelves
куртка,jacket
спустя,later
отчего,why
изба,izba
редко,rarely
вершина,top
тайный,secret
занятый,busy
рассматривать,consider
отойти,Depart
вырасти,grow
париж,Paris
убийство,murder
рубашка,shirt
ох,oh
хозяйство,economy
парк,park
перевести,Translate
режим,regime
руководство,guidance
посадить,plant
преступление,crime
стенка,wall
орать,scream
кругом,around
обойтись,do
луна,moon
богатый,rich
гостиница,hotel
беседа,conversation
твердый,solid
полк,regiment
выдать,betray
лапа,paw
воевать,fight
останавливаться,stop
никуда,nowhere
обладать,possess
продать,sell
спорить,argue
солнечный,sunny
забор,fence
больший,more
пост,post
полезть,climb
печальный,sad
выполнять,perform
требоваться,need
бледный,pale
умирать,die
шапка,cap
дойти,reach
успокоиться,calm down
университет,university
бабка,pastern
журналист,journalist
должность,post
приближаться,approach
истина,The truth
раствор,solution
газ,gas
позиция,position
летать,fly
неожиданный,unexpected
убивать,kill
появление,appearance
глухой,deaf
обыкновенный,ordinary
двинуться,move
решительно,resolutely
спуститься,Get down
крепко,firmly
песнь,canto
облако,cloud
морда,muzzle
записка,note
иностранный,foreign
незнакомый,unfamiliar
установить,install
забывать,forget
позвать,call
физический,physical
ус,moustache
помещение,room
испугаться,Scared
плащ,cloak
еле,hardly
темно,darkly
подъезд,approach
съесть,eat
прочесть,Read
следователь,investigator
двенадцать,twelve
задуматься,think
решать,decide
особенный,special
подарить,give
измениться,change
платок,kerchief
мощный,powerful
середина,middle
сумасшедший,mad
наверняка,That's for sure
здорово,great
напряжение,voltage
могила,grave
тоска,melancholy
приводить,adduce
удивляться,wonder
буквально,literally
борт,board
забрать,take away
грех,sin
несчастный,unhappy
строй,formation
занять,occupy
исследование,exploration
доказать,prove
буква,letter
реакция,reaction
варить,boil
мужской,male
резкий,sharp
пила,saw
литературный,literary
изменить,change
обезьяна,monkey
бригада,brigade
ловить,catch
остаток,remnant
стремиться,aspire
пункт,item
тянуться,stretch
локоть,elbow
обязанный,obliged
краска,paint
разница,difference
расстояние,distance
кружок,circle
пожилой,elderly
непонятный,incomprehensible
окончательно,finally
дон,don
заставлять,force
удивительный,amazing
страдать,suffer
седой,grizzled
политика,politics
поколение,generation
ожидание,waiting
записать,record
фонарь,lantern
куча,heap
полоса,stripe
страсть,passion
сержант,sergeant
святой,holy
повесть,story
шепот,whisper
теория,theory
интересовать,interest
чисто,purely
пояс,belt
близко,near
включить,turn on
поразить,hit
вокзал,station
вещество,substance
частный,private
корень,root
помолчать,be silent
столовый,table
ткань,cloth
открыться,open
поток,stream
вынужденный,constrained
полиция,The police
стыдный,shameful
база,base
слышно,audibly
строгий,strict
шинель,overcoat
блестящий,brilliant
выбор,choice
сведение,reduction
комиссия,commission
направить,send
палка,stick
запомнить,memorize
бороться,fight
везти,carry
колонна,column
лед,ice
замечательный,remarkable
надпись,inscription
одинокий,lonely
пиджак,coat
тарелка,plate
научиться,To learn
пища,food
назначить,assign
подруга,A friend
выбирать,choose
взрыв,explosion
сущность,essence
батарея,battery
техника,technique
пастух,shepherd
напомнить,remind
сомневаться,doubt
крыльцо,porch
радоваться,rejoice
покрыть,cover
глянуть,See
значительный,considerable
громкий,loud
захватить,capture
вождь,chieftain
восточный,oriental
приносить,bring
международный,international
необходимость,necessity
оттого,therefore
духовный,spiritual
голод,hunger
девица,damsel
временный,temporary
составить,compose
ровно,exactly
мечта,dream
кольцо,ring
ага,aha
дочка,daughter
королева,queen
картошка,potato
достоинство,dignity
медведь,bear
содержание,content
проект,project
костить,bones
согласный,consonant
покупать,buy
сперва,first
юный,young
любопытство,curiosity
создание,creation
паспорт,passport
двести,two hundred
коллега,colleague
девчонка,girl
луч,ray
стучать,knock
коммунист,communist
просьба,request
домик,lodge
полчаса,half-hour
железо,iron
отличие,difference
менять,change
мгновенно,instantly
пес,dog
разглядывать,view
горький,bitter
орудие,tool
специально,specially
сказка,fairy tale
закурить,light up
семейный,domestic
устать,get tired
прикрыть,cover
твердо,firmly
молодец,Good job
замолчать,Silenced
завести,start
прибыть,arrive
собрание,meeting
девять,nine
слон,elephant
подтвердить,confirm
глубоко,deeply
естественный,natural
юноша,youth
сойти,get off
поступать,enter
крутой,steep
валить,fell
объект,object
убитый,killed
сравнение,comparison
справа,right
благородный,noble
океан,ocean
поселок,Village
тайга,taiga
борода,beard
пачка,batch
надоесть,bore
привычка,habit
сумма,sum
вывести,deduce
прыгать,jump
создавать,create
грубый,rough
поездка,trip
убедиться,make sure
ненавидеть,hate
заявление,application
поражение,defeat
август,August
привычный,habitual
официальный,official
передний,front
север,north
шляпа,hat
изо,iso
молчание,silence
исчезать,disappear
эй,Hey
топор,axe
ощущать,feel
тащить,drag
брюки,trousers
соответствующий,appropriate
элемент,element
одеяло,blanket
мотор,motor
везде,everywhere
дружба,friendship
безопасность,security
скрывать,hide
совершить,make
крест,cross
земной,earthly
школьный,school
замереть,freeze
прозрачный,transparent
подавать,serve
истинный,true
кабина,cabin
пальто,coat
восторг,rapture
экономика,economics
забота,care
произвести,produce
дождаться,end
талант,talent
плыть,swim
запись,record
ведро,bucket
крестьянин,peasant
поворот,turn
подробность,detail
столб,post
канал,channel
пассажир,passenger
выполнить,fulfill
устройство,device
благодаря,thanks to
направиться,head
влияние,influence
ракета,rocket
гражданский,civil
шутить,Put on
смена,change
случаться,happen
спрятать,hide
предстоять,lie ahead
затылок,nape
юг,south
эпоха,epoch
товар,product
проклятый,cursed
ветка,branch
кормить,feed
продолжаться,last
разведчик,scout
отлично,It's cool
боже,gosh
молодость,youth
отдыхать,rest
октябрь,October
широко,widely
храм,temple
сдать,pass
шестой,sixth
жаловаться,complain
скала,rock
расчет,calculation
решиться,venture
грозный,fearsome
сделаться,become
обида,grievance
наступать,set in
скрыться,abscond
огород,vegetable garden
насколько,how much
запас,reserve
особенность,peculiarity
уезжать,To leave
заняться,Do
шар,ball
печка,stove
неприятный,unpleasant
могучий,mighty
заранее,beforehand
открытие,discovery
переходить,cross
орден,order
